Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 180

N 	Smpl.	Trig

0	219	0
1	221	0
2	222	0
3	220	0
4	217	0
5	211	0
6	207	0
7	198	0
8	191	0
9	181	0
10	173	0
11	165	0
12	159	0
13	152	0
14	148	0
15	146	0
16	145	0
17	147	0
18	148	0
19	152	0
20	159	0
21	165	0
22	172	0
23	179	0
24	187	0
25	195	0
26	200	0
27	206	0
28	209	0
29	211	0
30	211	0
31	211	0
32	208	0
33	204	0
34	199	0
35	193	0
36	187	0
37	180	0
38	175	0
39	168	0
40	163	0
41	160	0
42	156	0
43	155	0
44	155	0
45	157	0
46	160	0
47	164	0
48	168	0
49	175	0
50	179	0
51	186	0
52	191	0
53	195	0
54	199	0
55	203	0
56	204	0
57	204	0
58	203	0
59	200	0
60	196	0
61	192	0
62	187	0
63	181	0
64	175	0
65	171	0
66	167	0
67	162	0
68	159	0
69	159	0
70	158	0
71	159	0
72	161	0
73	165	0
74	171	0
75	175	0
76	181	0
77	187	0
78	192	0
79	198	0
80	203	0
81	205	0
82	207	0
83	207	0
84	207	0
85	204	0
86	200	0
87	195	0
88	190	0
89	183	0
90	176	0
91	171	0
92	164	0
93	159	0
94	154	0
95	151	0
96	149	0
97	150	0
98	151	0
99	155	0
100	159	0
101	165	0
102	172	0
103	179	0
104	187	0
105	195	0
106	202	0
107	208	0
108	212	0
109	216	0
110	217	0
111	218	0
112	216	0
113	212	0
114	207	0
115	199	0
116	192	0
117	183	0
118	175	0
119	167	0
120	159	0
121	152	0
122	147	0
123	143	0
124	140	0
125	140	0
126	143	0
127	147	0
128	151	0
129	159	0
130	167	0
131	175	0
132	184	0
133	194	0
134	203	0
135	211	0
136	216	0
137	220	0
138	223	0
139	224	0
140	223	0
141	219	0
142	214	0
143	207	0
144	200	0
145	191	0
146	181	0
147	171	0
148	163	0
149	155	0
150	148	0
151	143	0
152	140	0
153	139	0
154	139	0
155	142	0
156	147	0
157	152	0
158	160	0
159	168	0
160	176	0
161	187	0
162	195	0
163	203	0
164	211	0
165	215	0
166	219	0
167	220	0
168	220	0
169	219	0
170	215	0
171	208	0
172	203	0
173	195	0
174	187	0
175	179	0
176	171	0
177	164	0
178	158	0
179	152	0
180	149	0
181	147	0
182	147	0
183	148	0
184	151	0
185	156	0
186	161	0
187	167	0
188	175	0
189	181	0
190	188	0
191	195	0
192	200	0
193	204	0
194	207	0
195	208	0
196	208	0
197	207	0
198	204	0
199	200	0
200	195	0
201	191	0
202	184	0
203	179	0
204	173	0
205	168	0
206	164	0
207	163	0
208	160	0
209	160	0
210	161	0
211	163	0
212	167	0
213	171	0
214	175	0
215	179	0
216	184	0
217	188	0
218	192	0
219	195	0
220	197	0
221	199	0
222	199	0
223	197	0
224	195	0
225	191	0
226	188	0
227	184	0
228	179	0
229	174	0
230	170	0
231	167	0
232	163	0
233	162	0
234	160	0
235	160	0
236	163	0
237	166	0
238	170	0
239	175	0
240	180	0
241	186	0
242	192	0
243	197	0
244	202	0
245	205	0
246	207	0
247	208	0
248	208	0
249	207	0
250	203	0
251	198	0
252	192	0
253	186	0
254	179	0
255	171	0
256	164	0
257	157	0
258	152	0
259	148	0
260	145	0
261	144	0
262	144	0
263	148	0
264	151	0
265	158	0
266	164	0
267	173	0
268	182	0
269	191	0
270	199	0
271	208	0
272	215	0
273	220	0
274	224	0
275	226	0
276	225	0
277	223	0
278	219	0
279	212	0
280	204	0
281	195	0
282	186	0
283	175	0
284	165	0
285	156	0
286	147	0
287	140	0
288	135	0
289	131	0
290	131	0
291	131	0
292	136	0
293	143	0
294	149	0
295	159	0
296	169	0
297	179	0
298	191	0
299	201	0
300	211	0
301	219	0
302	226	0
303	231	0
304	233	0
305	232	0
306	231	0
307	226	0
308	219	0
309	211	0
310	201	0
311	191	0
312	179	0
313	168	0
314	159	0
315	149	0
316	143	0
317	136	0
318	132	0
319	131	0
320	132	0
321	135	0
322	140	0
323	147	0
324	155	0
325	164	0
326	175	0
327	184	0
328	194	0
329	203	0
330	211	0
331	216	0
332	221	0
333	223	0
334	224	0
335	223	0
336	219	0
337	215	0
338	208	0
339	200	0
340	192	0
341	184	0
342	176	0
343	168	0
344	163	0
345	156	0
346	151	0
347	149	0
348	148	0
349	149	0
350	151	0
351	155	0
352	159	0
353	163	0
354	169	0
355	175	0
356	181	0
357	187	0
358	191	0
359	195	0
360	199	0
361	200	0
362	201	0
363	200	0
364	199	0
365	196	0
366	194	0
367	191	0
368	187	0
369	183	0
370	179	0
371	176	0
372	175	0
373	173	0
374	172	0
375	172	0
376	173	0
377	175	0
378	176	0
379	179	0
380	181	0
381	184	0
382	187	0
383	188	0
384	189	0
385	191	0
386	189	0
387	188	0
388	187	0
389	183	0
390	180	0
391	176	0
392	173	0
393	170	0
394	166	0
395	163	0
396	162	0
397	160	0
398	160	0
399	161	0
400	164	0
401	168	0
402	172	0
403	179	0
404	184	0
405	191	0
406	196	0
407	203	0
408	207	0
409	211	0
410	215	0
411	215	0
412	216	0
413	213	0
414	211	0
415	204	0
416	198	0
417	191	0
418	182	0
419	172	0
420	163	0
421	156	0
422	148	0
423	141	0
424	136	0
425	133	0
426	132	0
427	135	0
428	139	0
429	143	0
430	151	0
431	160	0
432	171	0
433	181	0
434	192	0
435	203	0
436	214	0
437	223	0
438	230	0
439	235	0
440	237	0
441	239	0
442	235	0
443	231	0
444	223	0
445	215	0
446	204	0
447	192	0
448	180	0
449	168	0
450	155	0
451	144	0
452	135	0
453	127	0
454	123	0
455	120	0
456	120	0
457	122	0
458	128	0
459	135	0
460	145	0
461	156	0
462	168	0
463	183	0
464	195	0
465	207	0
466	217	0
467	227	0
468	235	0
469	239	0
470	241	0
471	240	0
472	239	0
473	232	0
474	225	0
475	216	0
476	204	0
477	193	0
478	180	0
479	168	0
480	158	0
481	147	0
482	139	0
483	132	0
484	128	0
485	127	0
486	127	0
487	131	0
488	135	0
489	143	0
490	151	0
491	160	0
492	171	0
493	180	0
494	191	0
495	200	0
496	208	0
497	215	0
498	219	0
499	223	0
500	224	0
501	223	0
502	221	0
503	216	0
504	211	0
505	204	0
506	197	0
507	190	0
508	182	0
509	175	0
510	168	0
511	163	0
512	159	0
513	155	0
514	153	0
515	153	0
516	154	0
517	156	0
518	159	0
519	163	0
520	167	0
521	171	0
522	176	0
523	180	0
524	184	0
525	187	0
526	190	0
527	191	0
528	192	0
529	191	0
530	192	0
531	191	0
532	188	0
533	187	0
534	185	0
535	183	0
536	182	0
537	181	0
538	180	0
539	180	0
540	181	0
541	183	0
542	184	0
543	186	0
544	187	0
545	189	0
546	191	0
547	192	0
548	192	0
549	192	0
550	191	0
551	189	0
552	187	0
553	183	0
554	179	0
555	175	0
556	170	0
557	165	0
558	160	0
559	158	0
560	155	0
561	153	0
562	152	0
563	153	0
564	155	0
565	159	0
566	163	0
567	170	0
568	176	0
569	184	0
570	192	0
571	200	0
572	207	0
573	213	0
574	219	0
575	223	0
576	224	0
577	224	0
578	223	0
579	219	0
580	214	0
581	207	0
582	197	0
583	187	0
584	176	0
585	167	0
586	156	0
587	147	0
588	139	0
589	132	0
590	128	0
591	125	0
592	126	0
593	128	0
594	133	0
595	141	0
596	149	0
597	160	0
598	171	0
599	184	0
600	197	0
601	209	0
602	219	0
603	228	0
604	236	0
605	240	0
606	243	0
607	243	0
608	239	0
609	233	0
610	226	0
611	216	0
612	204	0
613	192	0
614	179	0
615	165	0
616	153	0
617	141	0
618	132	0
619	125	0
620	120	0
621	118	0
622	119	0
623	122	0
624	127	0
625	136	0
626	147	0
627	157	0
628	170	0
629	183	0
630	195	0
631	207	0
632	218	0
633	227	0
634	234	0
635	238	0
636	239	0
637	239	0
638	236	0
639	229	0
640	223	0
641	213	0
642	203	0
643	191	0
644	179	0
645	168	0
646	159	0
647	149	0
648	141	0
649	136	0
650	132	0
651	131	0
652	132	0
653	136	0
654	140	0
655	147	0
656	155	0
657	164	0
658	173	0
659	182	0
660	191	0
661	199	0
662	206	0
663	211	0
664	215	0
665	216	0
666	216	0
667	215	0
668	212	0
669	208	0
670	203	0
671	198	0
672	191	0
673	186	0
674	179	0
675	174	0
676	169	0
677	165	0
678	163	0
679	161	0
680	161	0
681	162	0
682	163	0
683	166	0
684	168	0
685	172	0
686	175	0
687	179	0
688	182	0
689	184	0
690	186	0
691	187	0
692	187	0
693	187	0
694	186	0
695	184	0
696	183	0
697	181	0
698	179	0
699	176	0
700	176	0
701	175	0
702	175	0
703	175	0
704	176	0
705	178	0
706	180	0
707	184	0
708	187	0
709	191	0
710	193	0
711	196	0
712	199	0
713	200	0
714	201	0
715	200	0
716	199	0
717	196	0
718	192	0
719	188	0
720	183	0
721	176	0
722	170	0
723	163	0
724	159	0
725	155	0
726	150	0
727	148	0
728	147	0
729	147	0
730	149	0
731	153	0
732	159	0
733	164	0
734	172	0
735	181	0
736	191	0
737	199	0
738	207	0
739	213	0
740	219	0
741	223	0
742	227	0
743	227	0
744	225	0
745	221	0
746	215	0
747	208	0
748	200	0
749	190	0
750	180	0
751	169	0
752	159	0
753	149	0
754	141	0
755	135	0
756	131	0
757	128	0
758	128	0
759	131	0
760	135	0
761	143	0
762	151	0
763	160	0
764	172	0
765	183	0
766	195	0
767	207	0
768	216	0
769	223	0
770	231	0
771	235	0
772	237	0
773	236	0
774	232	0
775	228	0
776	220	0
777	211	0
778	200	0
779	188	0
780	176	0
781	165	0
782	155	0
783	146	0
784	137	0
785	131	0
786	128	0
787	128	0
788	128	0
789	132	0
790	138	0
791	146	0
792	155	0
793	165	0
794	176	0
795	187	0
796	197	0
797	207	0
798	215	0
799	221	0
800	225	0
801	228	0
802	228	0
803	226	0
804	223	0
805	216	0
806	209	0
807	200	0
808	191	0
809	182	0
810	173	0
811	164	0
812	156	0
813	151	0
814	147	0
815	143	0
816	143	0
817	144	0
818	147	0
819	151	0
820	156	0
821	163	0
822	170	0
823	176	0
824	184	0
825	191	0
826	197	0
827	203	0
828	206	0
829	207	0
830	208	0
831	207	0
832	205	0
833	202	0
834	198	0
835	193	0
836	187	0
837	182	0
838	176	0
839	172	0
840	169	0
841	166	0
842	164	0
843	163	0
844	164	0
845	165	0
846	167	0
847	171	0
848	175	0
849	179	0
850	183	0
851	187	0
852	191	0
853	192	0
854	195	0
855	195	0
856	195	0
857	193	0
858	192	0
859	188	0
860	185	0
861	181	0
862	176	0
863	172	0
864	169	0
865	165	0
866	164	0
867	163	0
868	163	0
869	163	0
870	165	0
871	169	0
872	173	0
873	179	0
874	183	0
875	188	0
876	194	0
877	199	0
878	203	0
879	206	0
880	208	0
881	208	0
882	207	0
883	204	0
884	200	0
885	196	0
886	190	0
887	183	0
888	176	0
889	169	0
890	163	0
891	157	0
892	152	0
893	148	0
894	146	0
895	145	0
896	147	0
897	150	0
898	155	0
899	160	0
900	167	0
901	175	0
902	184	0
903	192	0
904	200	0
905	207	0
906	214	0
907	219	0
908	221	0
909	223	0
910	222	0
911	219	0
912	215	0
913	208	0
914	200	0
915	191	0
916	183	0
917	173	0
918	163	0
919	155	0
920	148	0
921	143	0
922	139	0
923	136	0
924	136	0
925	138	0
926	143	0
927	148	0
928	156	0
929	164	0
930	175	0
931	184	0
932	194	0
933	203	0
934	211	0
935	217	0
936	223	0
937	225	0
938	227	0
939	225	0
940	221	0
941	216	0
942	210	0
943	202	0
944	192	0
945	183	0
946	173	0
947	164	0
948	156	0
949	149	0
950	144	0
951	140	0
952	139	0
953	139	0
954	141	0
955	147	0
956	152	0
957	159	0
958	167	0
959	176	0
960	184	0
961	193	0
962	201	0
963	208	0
964	213	0
965	216	0
966	219	0
967	219	0
968	216	0
969	213	0
970	208	0
971	201	0
972	195	0
973	187	0
974	179	0
975	172	0
976	164	0
977	159	0
978	155	0
979	151	0
980	149	0
981	150	0
982	151	0
983	155	0
984	159	0
985	165	0
986	171	0
987	177	0
988	184	0
989	191	0
990	196	0
991	201	0
992	204	0
993	207	0
994	207	0
995	207	0
996	204	0
997	201	0
998	196	0
999	191	0
