t (s),V (mV)
0,15.071
1.048,15.0396
2.047,14.9945
3.047,14.955
4.047,14.9202
5.047,14.8859
6.048,14.8472
7.047,14.8003
8.048,14.7679
9.047,14.7355
10.048,14.6951
11.047,14.6529
12.048,14.6149
13.047,14.5674
14.047,14.5318
15.048,14.4885
16.047,14.4377
17.047,14.4117
18.047,14.3762
19.048,14.3324
20.048,14.2975
21.052,14.2454
22.047,14.2211
23.047,14.1807
24.048,14.1418
25.048,14.103
26.048,14.054
27.052,14.0133
28.047,13.9798
29.048,13.9445
30.048,13.9132
31.047,13.8712
32.048,13.8374
33.047,13.7942
34.047,13.7565
35.047,13.7265
36.049,13.687
37.048,13.6551
38.048,13.6113
39.047,13.5858
40.048,13.5469
41.048,13.5041
42.048,13.4729
43.048,13.4466
44.048,13.3957
45.053,13.3643
