t (s),V (mV)
0,12.6111
0.979,12.5889
1.979,12.556
2.978,12.5235
3.983,12.4899
4.978,12.4602
5.978,12.4343
6.978,12.3975
7.979,12.3629
8.978,12.3229
9.983,12.2789
10.978,12.2637
11.978,12.2243
12.978,12.1881
13.979,12.1579
14.978,12.1252
15.978,12.0858
16.979,12.0559
17.978,12.0144
18.979,11.9788
19.978,11.9313
20.979,11.9044
21.978,11.8847
22.978,11.8441
23.979,11.8015
24.978,11.7731
25.978,11.7444
26.979,11.7069
27.978,11.6731
28.979,11.6308
29.978,11.5985
30.979,11.5554
31.978,11.5399
32.979,11.5027
33.978,11.4609
34.979,11.4349
35.978,11.4102
36.979,11.3783
37.978,11.3461
38.979,11.3236
39.984,11.2954
40.979,11.2524
41.979,11.2237
42.979,11.1748
43.979,11.1613
44.979,11.1161
45.979,11.0941
46.979,11.0742
47.978,11.037
48.979,11.0075
49.979,10.9794
50.978,10.9315
51.978,10.8945
52.979,10.8713
53.978,10.8368
54.978,10.6565
55.978,10.6193
56.978,10.5826
57.977,10.5585
58.977,10.5351
59.977,10.5087
60.979,10.4809
61.977,10.4608
62.978,10.3945
63.983,10.3735
64.977,10.3346
65.977,10.3013
66.978,10.281
67.977,10.2411
68.977,10.2241
69.978,10.1837
70.977,10.1714
71.977,10.1446
72.978,10.1118
73.978,10.0957
74.977,10.0574
75.977,10.0284
76.978,10.0065
77.978,9.976
78.979,9.9515
79.979,9.9235
80.979,9.9056
81.984,9.861
82.979,9.833
83.978,9.8152
84.979,9.7895
85.979,9.7729
86.978,9.746
87.983,9.73
88.979,9.6848
89.979,9.6572
90.978,9.6472
91.978,9.6126
92.978,9.5878
93.978,9.5413
94.978,9.5127
95.978,9.4813
96.978,9.4595
97.978,9.4228
98.978,9.3921
99.979,9.3604
100.978,9.3489
101.979,9.3213
102.978,9.2798
103.978,9.2652
104.979,9.2383
105.979,9.2269
106.978,9.1985
107.979,9.1801
108.978,9.1473
109.978,9.1068
110.979,9.0704
111.978,9.0578
112.979,9.0248
113.979,8.9852
114.978,8.9679
115.979,8.9443
116.978,8.9288
117.979,8.8965
118.979,8.8559
119.978,8.85
120.979,8.8156
121.978,8.7922
122.979,8.7654
123.979,8.7373
124.978,8.7112
125.979,8.688
126.978,8.6681
127.978,8.6269
128.979,8.6043
129.983,8.5615
130.979,8.5562
131.979,8.5269
132.978,8.5083
133.979,8.4774
134.978,8.435
135.979,8.422
136.979,8.3924
137.978,8.3634
138.978,8.3477
139.979,8.3341
140.978,8.2969
141.983,8.2659
142.978,8.2448
143.978,8.2348
144.978,8.1996
145.979,8.1942
146.979,8.1673
147.978,8.1303
148.979,8.1301
149.978,8.1001
150.979,8.0708
151.978,8.0534
152.979,8.0243
153.978,8.0005
154.978,7.9835
155.979,7.9579
156.978,7.9384
157.979,7.9263
158.978,7.8949
159.979,7.8643
160.979,7.8363
161.978,7.8151
162.979,7.7825
163.978,7.756
164.978,7.7402
165.978,7.726
166.979,7.6998
167.978,7.6864
168.979,7.663
169.979,7.6433
170.979,7.6223
171.978,7.5939
172.979,7.569
173.978,7.5627
174.979,7.5332
175.978,7.5014
176.978,7.4748
177.982,7.4649
178.979,7.4441
179.978,7.4273
180.981,7.3938
181.979,7.3685
182.979,7.3513
183.979,7.3372
184.978,7.3233
185.978,7.2881
186.978,7.2694
187.978,7.2445
188.979,7.2293
189.978,7.2035
190.978,7.197
191.978,7.1819
192.978,7.1536
193.978,7.1359
194.979,7.099
195.979,7.0841
196.979,7.0747
197.978,7.0473
198.978,7.0092
199.978,6.9905
200.978,6.9748
201.978,6.9567
202.978,6.9326
203.979,6.9133
204.979,6.8865
205.979,6.8809
206.978,6.8488
207.978,6.8297
208.978,6.8008
209.978,6.7996
210.979,6.7639
211.979,6.746
212.978,6.7341
213.978,6.7133
214.979,6.6947
215.979,6.676
216.979,6.6426
217.979,6.6289
218.978,6.6114
219.979,6.6036
220.979,6.5711
221.979,6.5586
222.978,6.539
223.978,6.5079
224.979,6.4876
225.978,6.4656
226.978,6.4521
227.979,6.432
228.979,6.4139
229.978,6.3898
230.978,6.3637
231.979,6.3459
232.979,6.3284
233.979,6.3159
234.978,6.3015
235.978,6.2759
