t (s),V (mV)
0,15.4463
0.968,15.3907
1.902,15.3343
2.865,15.2791
3.84,15.2058
4.839,15.1354
5.84,15.058
6.84,14.9887
7.84,14.9124
8.839,14.8511
9.839,14.7845
10.84,14.7109
11.839,14.662
12.839,14.5855
13.839,14.5166
14.839,14.4516
15.84,14.3918
16.839,14.3167
17.839,14.2506
18.84,14.193
19.839,14.1246
20.84,14.0642
21.84,14.0036
22.839,13.9396
23.84,13.8694
24.84,13.803
25.839,13.7466
26.839,13.6818
27.84,13.6205
28.84,13.5498
29.839,13.4818
30.84,13.4261
31.84,13.3597
32.839,13.3002
33.84,13.2377
34.839,13.1731
35.84,13.123
36.84,13.0552
37.839,12.9954
38.839,12.924
39.839,12.8672
40.839,12.8073
41.84,12.7509
42.84,12.6928
43.84,12.6303
44.839,12.5724
45.84,12.5271
46.84,12.4649
47.839,12.401
48.84,12.3443
49.839,12.2978
50.84,12.2329
51.84,12.1886
52.84,12.1151
53.839,12.0634
54.839,12.0084
55.84,11.9587
56.839,11.8954
57.84,11.8435
58.839,11.7807
59.84,11.7425
60.839,11.6838
61.839,11.6245
62.84,11.5677
63.839,11.5144
64.84,11.4652
65.84,11.4129
66.839,11.3462
67.84,11.2984
68.84,11.2406
69.839,11.1928
70.839,11.133
71.839,11.0993
72.839,11.034
73.84,10.9839
74.84,10.9219
75.84,10.8732
76.839,10.8219
77.839,10.7818
78.84,10.7294
79.839,10.6773
80.839,10.6198
81.839,10.5808
82.838,10.5229
83.839,10.4785
84.838,10.4267
85.839,10.3801
86.838,10.3435
87.839,10.3003
88.838,10.2546
89.838,10.2032
90.839,10.1449
91.838,10.0956
92.838,10.0546
93.838,10.0074
94.839,9.9563
95.84,9.9148
96.839,9.8672
97.839,9.8264
98.84,9.777
99.839,9.7284
100.84,9.6753
101.84,9.6306
102.839,9.596
103.839,9.5524
104.839,9.4955
105.84,9.4585
106.839,9.4007
107.839,9.3544
108.839,9.3175
109.84,9.2668
110.839,9.2338
111.839,9.1892
112.839,9.1637
113.84,9.1032
114.839,9.0562
115.84,9.0121
116.84,8.9793
117.839,8.9225
118.84,8.8848
119.839,8.8345
120.839,8.7962
121.839,8.7516
122.839,8.7046
123.84,8.6706
124.839,8.6304
125.84,8.5919
126.84,8.5539
127.839,8.4979
128.84,8.4551
129.839,8.4221
130.839,8.3741
131.84,8.3452
132.839,8.302
133.839,8.255
134.84,8.2204
135.839,8.1871
136.84,8.1453
137.839,8.107
138.839,8.0687
139.84,8.0218
140.839,7.9832
