v, Hz	U, V	I, mA
22.5	0.15	461.5
35	0.23	456.4
45	0.28	450.5
55	0.34	444
65	0.385	436
75	0.43	428
85	0.465	422.5
95	0.498	415.5
105	0.528	408.6
115	0.554	402.2
150	0.619	379.9
200	0.675	359.9
250	0.704	346.5
300	0.72	336.8
350	0.727	329.5
400	0.730	323.7
450	0.730	318.6
500	0.729	314.1
550	0.725	309.9
600	0.721	305.9
650	0.716	302
700	0.709	298
750	0.704	294.2
800	0.697	290.4
850	0.689	286.6
900	0.681	282.8
950	0.673	279
1000	0.665	275.2
1500	0.577	238
2000	0.495	205
2500	0.426	177.6
3000	0.37	155.5
3500	0.324	137.6
4000	0.287	123
4500	0.255	110.9
5000	0.223	100.8
6000	0.187	84.9
7000	0.156	73.1
8000	0.131	63.9
9000	0.112	56.5
10000	0.096	50.4
12000	0.073	40.4
14000	0.057	33.3
16000	0.046	27.6
18000	0.037	22.94
20000	0.031	18.91
22000	0.027	15.37
26000	0.021	9.27
30000	0.0147	4.15
